source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:05200,Pathways in cancer,9.134816654835029e-22,True,Pathways in cancer,527,34,25,8484,0.7352941176470589,0.04743833017077799,query_1,['KEGG:00000']
GO:BP,GO:0042127,regulation of cell population proliferation,1.1343659874851678e-21,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1683,35,28,21031,0.8,0.016636957813428402,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0008283,cell population proliferation,3.582077150219097e-21,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2006,35,29,21031,0.8285714285714286,0.014456630109670987,query_1,['GO:0009987']
GO:BP,GO:0008284,positive regulation of cell population proliferation,1.092067390965249e-19,True,"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]",962,35,23,21031,0.6571428571428571,0.02390852390852391,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048522']"
GO:BP,GO:2000628,regulation of miRNA metabolic process,1.6545362681176216e-19,True,"""Any process that modulates the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]",90,35,13,21031,0.37142857142857144,0.14444444444444443,query_1,"['GO:0010586', 'GO:0051252']"
GO:BP,GO:0140747,regulation of ncRNA transcription,4.660680862956686e-19,True,"""Any process that modulates the frequency, rate or extent of transcription of a non-protein coding gene from a DNA-template."" [GOC:pg]",97,35,13,21031,0.37142857142857144,0.13402061855670103,query_1,"['GO:0006355', 'GO:0098781']"
GO:BP,GO:0006915,apoptotic process,1.3837230070378065e-18,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1913,35,27,21031,0.7714285714285715,0.014113957135389441,query_1,['GO:0012501']
GO:BP,GO:0010586,miRNA metabolic process,1.5773200320412802e-18,True,"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]",106,35,13,21031,0.37142857142857144,0.12264150943396226,query_1,['GO:0034660']
GO:BP,GO:1902893,regulation of miRNA transcription,2.4307676332852073e-18,True,"""Any process that modulates the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]",75,35,12,21031,0.34285714285714286,0.16,query_1,"['GO:0061614', 'GO:0140747', 'GO:2000628']"
GO:BP,GO:0061614,miRNA transcription,2.883613927185188e-18,True,"""The cellular synthesis of microRNA (miRNA) transcripts. MicroRNA genes are synthesized as primary (pri) miRNA transcripts and subsequently processed to produce the ~22nt miRNAs that function in gene regulation."" [GOC:dph, GOC:kmv, PMID:18778799]",76,35,12,21031,0.34285714285714286,0.15789473684210525,query_1,"['GO:0010586', 'GO:0098781']"
